Init x: b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xf5'
       0 - hash:    52876, next_g: 139710571145088, next_i:        1
       1 - hash:    43381, next_g: 139710571145088, next_i:        2
       2 - hash:    62898, next_g: 139710571145088, next_i:        3
       3 - hash:     7903, next_g: 139710571145088, next_i:        4
       4 - hash:    43485, next_g: 139710571145088, next_i:        5
       5 - hash:    23363, next_g: 139710571145088, next_i:        6
       6 - hash:    63549, next_g: 139710571145088, next_i:        7
       7 - hash:    27776, next_g: 139710571145088, next_i:        8
       8 - hash:    23477, next_g: 139710571145088, next_i:        9
       9 - hash:    11943, next_g: 139710571145088, next_i:       10
      10 - hash:    10355, next_g: 139710571145088, next_i:       11
      11 - hash:    52740, next_g: 139710571145088, next_i:       12
      12 - hash:    38859, next_g: 139710571145088, next_i:       13
      13 - hash:    42858, next_g: 139710571145088, next_i:       14
      14 - hash:    64208, next_g: 139710571145088, next_i:       15
      15 - hash:    40347, next_g: 139710571145088, next_i:       16
      16 - hash:    36181, next_g: 139710571145088, next_i:       17
      17 - hash:     3504, next_g: 139710571145088, next_i:       18
      18 - hash:    30151, next_g: 139710571145088, next_i:       19
      19 - hash:    47008, next_g: 139710571145088, next_i:       20
      20 - hash:    30885, next_g: 139710571145088, next_i:       21
      21 - hash:    63638, next_g: 139710571145088, next_i:       22
      22 - hash:    34205, next_g: 139710571145088, next_i:       23
      23 - hash:    51627, next_g: 139710571145088, next_i:       24
      24 - hash:    49343, next_g: 139710571145088, next_i:       25
      25 - hash:    31130, next_g: 139710571145088, next_i:       26
      26 - hash:     6231, next_g: 139710571145088, next_i:       27
      27 - hash:    38375, next_g: 139710571145088, next_i:       28
      28 - hash:    52421, next_g: 139710571145088, next_i:       29
      29 - hash:    20867, next_g: 139710571145088, next_i:       30
      30 - hash:    58328, next_g: 139710571145088, next_i:       31
      31 - hash:    51270, next_g: 139710571145088, next_i:       32
      32 - hash:    19157, next_g: 139710571145088, next_i:       33
      33 - hash:     5412, next_g: 139710571145088, next_i:       34
      34 - hash:    57259, next_g: 139710571145088, next_i:       35
      35 - hash:    58714, next_g: 139710571145088, next_i:       36
      36 - hash:    47717, next_g: 139710571145088, next_i:       37
      37 - hash:    62528, next_g: 139710571145088, next_i:       38
      38 - hash:    61747, next_g: 139710571145088, next_i:       39
      39 - hash:    35072, next_g: 139710571145088, next_i:       40
      40 - hash:    48691, next_g: 139710571145088, next_i:       41
      41 - hash:    48040, next_g: 139710571145088, next_i:       42
      42 - hash:    20699, next_g: 139710571145088, next_i:       43
      43 - hash:    34453, next_g: 139710571145088, next_i:       44
      44 - hash:    32976, next_g: 139710571145088, next_i:       45
